full_name,days,stars_from,stars_to,star_delta,stars_per_day,recent_per_day,accel_x,open_issues_from,open_issues_to,issue_delta,issue_ratio,resp_hours,signal
MemoriLabs/Memori,1,16296,16304,8,8.0,8.0,1.0,33,33,0,0.002,19.0,平稳增长
xpzouying/xiaohongshu-mcp,1,15567,15575,8,8.0,8.0,1.0,88,89,1,0.0057,181.6,平稳增长
modelcontextprotocol/typescript-sdk,1,13286,13294,8,8.0,8.0,1.0,596,595,-1,0.0448,7.2,平稳增长
ag-ui-protocol/ag-ui,1,15648,15655,7,7.0,7.0,1.0,338,332,-6,0.0212,35.5,停滞/冷却
palmier-io/palmier-pro,1,14223,14230,7,7.0,7.0,1.0,94,94,0,0.0066,2.2,停滞/冷却
Canner/WrenAI,1,17430,17436,6,6.0,6.0,1.0,318,318,0,0.0182,41.1,停滞/冷却
triggerdotdev/trigger.dev,1,16170,16176,6,6.0,6.0,1.0,344,345,1,0.0213,31.7,停滞/冷却
modelscope/ms-swift,1,15465,15471,6,6.0,6.0,1.0,634,632,-2,0.0409,21.3,停滞/冷却
Unstructured-IO/unstructured,1,15367,15373,6,6.0,6.0,1.0,299,301,2,0.0196,85.6,停滞/冷却
datawhalechina/llm-universe,1,13882,13888,6,6.0,6.0,1.0,16,16,0,0.0012,2341.3,停滞/冷却
osaurus-ai/osaurus,1,7748,7753,5,5.0,5.0,1.0,184,182,-2,0.0235,0.6,停滞/冷却
agent0ai/agent-zero,1,19043,19048,5,5.0,5.0,1.0,145,144,-1,0.0076,165.9,停滞/冷却
Anionex/banana-slides,1,15525,15530,5,5.0,5.0,1.0,66,68,2,0.0044,0.7,停滞/冷却
ggml-org/ggml,1,15267,15272,5,5.0,5.0,1.0,351,351,0,0.023,56.2,停滞/冷却
fathah/hermes-desktop,1,14086,14091,5,5.0,5.0,1.0,400,400,0,0.0284,38.2,停滞/冷却
e2b-dev/E2B,1,13604,13609,5,5.0,5.0,1.0,48,48,0,0.0035,128.7,停滞/冷却
Arindam200/awesome-ai-apps,1,13542,13547,5,5.0,5.0,1.0,68,68,0,0.005,438.5,停滞/冷却
datawhalechina/easy-vibe,1,19196,19200,4,4.0,4.0,1.0,18,18,0,0.0009,301.7,停滞/冷却
MODSetter/SurfSense,1,16041,16045,4,4.0,4.0,1.0,124,124,0,0.0077,207.3,停滞/冷却
tailcallhq/forgecode,1,7599,7602,3,3.0,3.0,1.0,41,41,0,0.0054,30.5,停滞/冷却
tanweai/pua,1,19558,19561,3,3.0,3.0,1.0,11,11,0,0.0006,56.9,停滞/冷却
microsoft/agent-lightning,1,17935,17938,3,3.0,3.0,1.0,158,159,1,0.0089,214.0,停滞/冷却
langbot-app/LangBot,1,17623,17626,3,3.0,3.0,1.0,128,128,0,0.0073,32.5,停滞/冷却
rowboatlabs/rowboat,1,17443,17446,3,3.0,3.0,1.0,167,156,-11,0.0089,40.3,停滞/冷却
microsoft/mcp-for-beginners,1,17125,17128,3,3.0,3.0,1.0,3,4,1,0.0002,83.1,停滞/冷却
googleapis/mcp-toolbox,1,16283,16286,3,3.0,3.0,1.0,251,253,2,0.0155,15.3,停滞/冷却
coderamp-labs/gitingest,1,15364,15367,3,3.0,3.0,1.0,22,22,0,0.0014,93.5,停滞/冷却
yusufkaraaslan/Skill_Seekers,1,14869,14872,3,3.0,3.0,1.0,53,53,0,0.0036,28.7,停滞/冷却
nanobrowser/nanobrowser,1,13703,13706,3,3.0,3.0,1.0,78,78,0,0.0057,105.1,停滞/冷却
langchain4j/langchain4j,1,12984,12987,3,3.0,3.0,1.0,885,893,8,0.0688,6.2,停滞/冷却
NirDiamant/Prompt_Engineering,1,7822,7824,2,2.0,2.0,1.0,8,8,0,0.001,0.2,停滞/冷却
logancyang/obsidian-copilot,1,7653,7655,2,2.0,2.0,1.0,125,122,-3,0.0159,10.0,停滞/冷却
google/magika,1,17985,17987,2,2.0,2.0,1.0,165,165,0,0.0092,18.5,停滞/冷却
dottxt-ai/outlines,1,15727,15729,2,2.0,2.0,1.0,161,161,0,0.0102,163.6,停滞/冷却
NanmiCoder/cc-haha,1,14254,14256,2,2.0,2.0,1.0,180,182,2,0.0128,29.9,停滞/冷却
waooAI/waoowaoo,1,13900,13902,2,2.0,2.0,1.0,142,142,0,0.0102,599.4,停滞/冷却
puckeditor/puck,1,13234,13236,2,2.0,2.0,1.0,194,194,0,0.0147,16.1,停滞/冷却
arc53/DocsGPT,1,18231,18232,1,1.0,1.0,1.0,108,109,1,0.006,69.9,停滞/冷却
dair-ai/AI-Papers-of-the-Week,1,13133,13134,1,1.0,1.0,1.0,1,1,0,0.0001,60.5,停滞/冷却
coroot/coroot,1,7898,7898,0,0.0,0.0,0.0,118,119,1,0.0151,18.7,停滞/冷却
2FastLabs/agent-squad,1,7750,7750,0,0.0,0.0,0.0,88,88,0,0.0114,70.5,停滞/冷却
elizaOS/eliza,1,19220,19220,0,0.0,0.0,0.0,1532,1578,46,0.0821,0.2,停滞/冷却
camel-ai/camel,1,17658,17658,0,0.0,0.0,0.0,488,488,0,0.0276,35.8,停滞/冷却
ai-shifu/ChatALL,1,16491,16491,0,0.0,0.0,0.0,228,229,1,0.0139,274.7,停滞/冷却
NevaMind-AI/memU,1,14365,14365,0,0.0,0.0,0.0,114,117,3,0.0081,15.6,停滞/冷却
Lightning-AI/litgpt,1,13640,13640,0,0.0,0.0,0.0,286,287,1,0.021,683.5,停滞/冷却
EricLBuehler/mistral.rs,1,7639,7638,-1,-1.0,-1.0,1.0,380,369,-11,0.0483,56.4,停滞/冷却
iii-hq/iii,1,18657,18656,-1,-1.0,-1.0,1.0,70,67,-3,0.0036,14.8,停滞/冷却
xming521/WeClone,1,18173,18172,-1,-1.0,-1.0,1.0,40,40,0,0.0022,5.1,停滞/冷却
GoogleCloudPlatform/generative-ai,1,17645,17644,-1,-1.0,-1.0,1.0,87,84,-3,0.0048,905.2,停滞/冷却
